Magazine code,Date,English title,Japanese title,English Kindle,Bilingual Print,Tankōbon,Complete Collection,1979 anime,,2005 anime,,,Movie,,Short film,Notes
YK,1973-07,Beach Balloons,風船で海水浴,Vol 198,,,Vol 18,,,,,,,,,
KG,1973-07,The Snow Maker,雪を作れる機械,Vol 197,,,Vol 18,,,,,,,,,
G1,1973-07,Reality Crayons,本物クレヨン,Vol 169,,,Vol 6,Ep 440,,Ep 422A (737),,,,,,
G2,1973-07,The Hypnosis Pendulum,さいみんふりこ,Vol 171,,,Vol 5,,,,,,,,,
G3,1973-07,"Today, I'm Mary!",ぼく、マリちゃんだよ,Vol 39,,Vol 8,Vol 4,Ep 241–242,,Ep 430A (754),,,,,,
G4,1973-07,Button Thief,バッジどろぼう,Vol 145,,Vol +2,Vol 3,Ep 1101,,Ep 866B (1460),,,,,,
G5,1973-07,Desert Island Adventure,のび太漂流記,Vol 33,,Vol 6,Vol 2,Ep 58,Ep 1020,Ep 56A (111),Ep 724A (1259),,,,,
G6,1973-07,The Diamond Thieves,ママのダイヤを盗み出せ,Vol 35,,Vol 7,Vol 1,Ep 90,,Ep 100B (190),Ep 707A (1230),,,,,
YK,1973-08,The Arm Conditioner,うでクーラー,Vol 198,,,Vol 18,,,,,,,,,
KG,1973-08,Dorami's Playhouse,ドラミおおはりきり,Vol 197,,,Vol 18,,,,,,,,,
G1,1973-08,Camping,キャンプ,Vol 169,,,Vol 6,,,Ep 415A (723),,,,,,
G2,1973-08,The Doppelgang-er,みがわりペンダント,Vol 180,,,Vol 5,Ep 375,,,,,,,,
G3,1973-08,The Uncle and the Elephant,ぞうとおじさん,Vol 31,Vol 2-1,Vol 5,Vol 4,Special (Ep 234C),,Ep 99 (188),Ep 490B (867),,,,,
G4,1973-08,Mountain Rescue,雪山遭難を助けろ,Vol 178,,,Vol 3,Ep 524,Ep 1331,,,,,,,
G5,1973-08,"Eat Candy, Sing Dandy",キャンデーなめて歌手になろう,Vol 37,Vol 2-2,Vol 8,Vol 2,Ep 27,Ep 1200,Ep 54A (106),Ep 297A (484),,,,,
G6,1973-08,The Treasure of Chinkara Pass,珍加羅峠の宝物,Vol 54,,Vol 15,Vol 1,Ep 18,,Ep 365B (618),,,,,,
YK,1973-09,The Rain Vacuum,雨そうじ機,Vol 198,,,Vol 18,,,,,,,,,
KG,1973-09,An Amazing Aquarium,へんなすいぞくかん,Vol 197,,,Vol 18,,,,,,,,,
G1,1973-09,The Bug Concert,月の光と虫の声,Vol 27,Vol 1-1,Vol 4,Vol 6,Ep 131,,Ep 268B (433),Ep 672A (1175),,,,,
G2,1973-09,The Jack-in-the-Box,びっくりばこ,Vol 180,,,Vol 5,,,,,,,,,
G3,1973-09,Honest Thomas,正直太郎,Vol 23,Vol 3-1,Vol 2,Vol 4,Ep 107,Ep 1180,Ep 26A (50),Ep 693B (1211),,,,,
G4,1973-09,The Ultra Stopwatch,ウルトラストップウオッチ,Vol 178,,,Vol 3,Ep 369,Ep 1641,,,,,,,
G5,1973-09,"My Teacher, Myself",ぼくを、ぼくの先生に,Vol 26,Vol 3-4,Vol 3,Vol 2,Ep 45,Ep 1134,Ep 648B (1136),,,,,,
G6,1973-09,Will-O-Whisperer,怪談ランプ,Vol 8,,Vol 2,Vol 1,Ep 219,,Ep 18B (36),Ep 372A (631),,,,,
YK,1973-10,Lion Tamers,ネコみたいになるえさ,Vol 198,,,Vol 18,,,,,,,,,
KG,1973-10,Graffiti Erasing Gas,らくがきを消すガス,Vol 197,,,Vol 18,,,,,,,,,
G1,1973-10,The Mind Reader,ココロをのぞいちゃえ,Vol 182,,,Vol 6,Ep 484,,,,,,,,
G2,1973-10,The Disaster Driller,さいなんくんれん機,Vol 46,Vol 1-4,Vol 11,Vol 5,Ep 82,,,,,,,,
G3,1973-10,The Wacky Wallet,タヌキさいふ,Vol 179,,Vol +7,Vol 4,,,Ep 837A (1419),,,,,,
G4,1973-10,Chew-Out Gum,ダイリガム,Vol 32,Vol 3-5,Vol 6,Vol 3,Ep 185,Ep 1189,,,,,,,
G5,1973-10,The Sneaky Camera,こっそりカメラ,Vol 55,,Vol 15,Vol 2,Ep 173,Ep 1372,,,,,,,
G6,1973-10,The Payday Problem,月給騒動,Vol 147,,Vol +2,Vol 1,Ep 630,,Ep 170B (295),,,,,,
KG,1973-11,Toys for One,ひとりで遊べる道具,Vol 197,,,Vol 18,,,,,,,,,
G1,1973-11,Power Glasses,ふしぎなめがね,Vol 182,,,Vol 6,Ep 404,,,,,,,,
G2,1973-11,Powermax Mints,強力スーパーパワーゲン,Vol 181,,,Vol 5,,,,,,,,,
G3,1973-11,The Wolf Family,オオカミ一家,Vol 14,Vol 2-1,Vol 2,Vol 4,Ep 12,Ep 809,Ep 82B (158),Ep 844A (1429),,,,,
G4,1973-11,The Happy Heater,しあわせカイロでにっこにこ,Vol 178,,,Vol 3,Ep 1110,,,,,,,,
G5,1973-11,The Guiding Angel,ミチビキエンゼル,Vol 25,Vol 3-5,Vol 3,Vol 2,Ep 157,Ep 1130,Ep 22A (42),Ep 376B (640),,,,,
G6,1973-11,Future Shopper,未来からの買いもの,Vol 35,Vol 2-4,Vol 7,Vol 1,Ep 96,,Ep 101A (191),Ep 558B (994),,,,,
KG,1973-12,Fire Truck,しょうぼうしゃ,Vol 197,,,Vol 18,,,,,,,,,
G1,1973-12,Building a Subway,地下鉄をつくっちゃえ,Vol 24,Vol 2-4,Vol 2,Vol 6,Ep 13,,Ep 130A (238),Ep 763B (1318),,,,,
G2,1973-12,Shizuka's Magic Robe,しずちゃんのはごろも,Vol 23,,Vol 2,Vol 5,Ep 309,,Ep 327B (543),,,,,,
G3,1973-12,The Calendar Flipper,日づけ変更カレンダー,Vol 25,Vol 3-2,Vol 3,Vol 4,Ep 486,,Ep 465B (820),,,,,,
G4,1973-12,Compound Interest,ボーナス1024倍,Vol 25,Vol 3-4,Vol 3,Vol 3,Ep 521,,,,,,,,
G5,1973-12,The Say and Obey Caps,イイナリキャップ,Vol 154,,Vol +5,Vol 2,Ep 640,,Ep 100A (189),Ep 559A (995),,,,,
G6,1973-12,"Just Once, a Perfect 100",一生に一度は百点を…,Vol 21,Vol 1-1,Vol 1,Vol 1,Ep 15,Ep 1179,Ep 12A (22),Ep 518B (918),,,,,
G1,1974-01,The Donation Box,おとしだまぼきん,Vol 182,,,Vol 6,,,,,,,,,
G2,1974-01,The Instant Pearl Maker,しんじゅせいぞうロボット,Vol 181,,,Vol 5,,,,,,,,,
G3,1974-01,The Skyhorse,走れ！ウマタケ,Vol 22,,Vol 1,Vol 4,Ep 21,,Ep 268A (432),,,,,,
G4,1974-01,The Pocket Patch,タタミのたんぼ,Vol 6,,Vol 2,Vol 3,Ep 104,,Ep 35A (69),Ep 558A (993),,,,,
G5,1974-01,Buried Treasure,宝さがし,Vol 176,,Vol +7,Vol 2,Special (Ep 643C),,,,,,,,
G6,1974-01,The Houseguest Pest,いやなお客の帰し方,Vol 45,,Vol 11,Vol 1,Ep 232,,Ep 278A (450),,,,,,
BK,1974-01,,じゅん番入れかわりそうち,,,,Vol 20,,,,,,,,,
G1,1974-02,The Pass Loop,通りぬけフープ,Vol 40,,Vol 9,Vol 6,Ep 427,,,,,,,,
G2,1974-02,Sidestep Socks,ヒラリくつ下,Vol 181,,,Vol 5,,,,,,,,,
G3,1974-02,Tabletop Ski Resort,はこ庭スキー場,Vol 32,,Vol 6,Vol 4,Ep 211,Ep 1213,Ep 391B (670),,,,,,
G4,1974-02,To Catch a Cold,このかぜうつします,Vol 24,Vol 3-3,Vol 2,Vol 3,Ep 257,,Ep 34A (67),,,,,,
G5,1974-02,Junior Detective Set,シャーロック・ホームズセット,Vol 25,,Vol 3,Vol 2,Ep 199,,Ep 318B (528),,,,,,
G6,1974-02,Return to Un-sender,出さない手紙の返事をもらう方法,Vol 1,Vol 3-3,Vol 2,Vol 1,Ep 1278,,Ep 304B (499),,,,,,
BK,1974-02,Noby's Own TV Station,テレビ局をはじめたよ,Vol 46,,Vol 11,Vol 20,,,Ep 285A (464),Ep 526A (933),,,,,
G1,1974-03,The Charmed Rope,ピーヒョロロープ,Vol 36,,Vol 7,Vol 6,,,Ep 469A (827),,,,,,
G2,1974-03,The Human Magnet,人間磁石,Vol 181,,,Vol 5,,,,,,,,,
G3,1974-03,Farewell Doraemon,さようなら、ドラえもん,Vol 33,Vol 2-1,Vol 6,Vol 4,Special (Ep 491C),,Ep 164A (288),,,Stand by Me Doraemon,,Doraemon Comes Back,
G4,1974-03,The 100% Accurate Palm Reading Set,かならず当たる手相セット,Vol 23,,Vol 2,Vol 3,Ep 203,Ep 1448,Ep 323B (538),,,,,,
G5,1974-03,Switching Moms,ママをとりかえっこ,Vol 14,Vol 2-4,Vol 3,Vol 2,Ep 16,Ep 1177,Ep 52A (102),Ep 520A (921),,,,,
G6,1974-03,The Dreamcorder,ユメコーダー,Vol 154,,Vol +5,Vol 1,Ep 1640,,,,,,,,
BK,1974-03,The Haunted Mountain Village,山おく村の怪事件,Vol 36,,Vol 7,Vol 20,Special (Ep 541A),,Ep 160 (284),Ep 641A (1123),,,,,
G2,1974-04,Tickle Gloves,コチョコチョ手ぶくろ,Vol 142,,Vol +1,Vol 6,Ep 1636,,,,,,,,
G3,1974-04,Echo Mountain,山びこ山,Vol 181,,,Vol 5,,,,,,,,,
G4,1974-04,Welcome Back Doraemon,帰ってきたドラえもん,Vol 34,Vol 2-1,Vol 7,Vol 4,Special (Ep 491C),,Ep 164A (288),,,Stand by Me Doraemon,,Doraemon Comes Back,
G5,1974-04,Facial Reconstruction,お客の顔を組み立てよう,Vol 27,,Vol 4,Vol 3,Ep 73,Ep 1377,Ep 443A (777),,,,,,
G6,1974-04,Animal Transformation Crackers,変身ビスケット,Vol 6,Vol 1-1,Vol 1,Vol 2,Ep 2,,Ep 13A (25),Ep 247B (398),Ep 517A (915),,,,
G2,1974-05,The Impasse-a-pole,通せんぼう,Vol 182,,,Vol 6,Ep 1319,,,,,,,,
G3,1974-05,Carp Streamers,こいのぼり,Vol 32,,Vol 6,Vol 5,Ep 30,,Ep 653A (1143),,,,,,
G4,1974-05,The Curse Cap,ウラメシズキン,Vol 153,,Vol +4,Vol 4,Ep 1087,,Ep 261A (420),,,,,,
G5,1974-05,The Misery Meter,いやな目メーター,Vol 145,,Vol +2,Vol 3,Ep 1111,,,,,,,,
G6,1974-05,The Make-it-so Day Planner,○○が××と△△する,Vol 22,,Vol 1,Vol 2,Ep 40,,,,,,,,
BK,1974-05,The Urashima Candy,ウラシマキャンデー,Vol 41,,Vol 9,Vol 20,Ep 1240,,Ep 72A (140),Ep 546A (972),,,,,
G2,1974-06,The Graffiti Gun,らくがきじゅう,Vol 55,,Vol 15,Vol 6,Ep 222,Ep 1220,Ep 693A (1210),,,,,,
G3,1974-06,The Detour Arrows,こいこいマークでお中元,Vol 181,,,Vol 5,,,,,,,,,
G4,1974-06,The Magic Box,マジックボックス,Vol 180,,,Vol 4,,,Ep 540B (961),,,,,,
G5,1974-06,The Expresso Machine,表情コントローラー,Vol 55,Vol 3-3,Vol 15,Vol 3,Ep 108,,Ep 423B (740),,,,,,
G6,1974-06,The Trick-or-Tanuki Set,タヌ機,Vol 36,,Vol 7,Vol 2,Ep 39,Ep 1662,Ep 379B (646),,,,,,
BK,1974-06,The Underground Expedition,地底の国探検,Vol 30,,Vol 5,Vol 20,Ep 1212,,Ep 80–81 (155–156),,,,,,
G2,1974-07,The R/C Paper Airplane,折り紙ラジコン,Vol 182,,,Vol 6,,,,,,,,,
G3,1974-07,My Tub's an Ocean,うちのプールは太平洋,Vol 30,Vol 3-5,Vol 5,Vol 5,,,Ep 450A (790),,,,,,
G4,1974-07,Noby's City of Dreams,ゆめの町、ノビタランド,Vol 1,Vol 1-1,Vol 3,Vol 4,Ep 1,,Ep 45A (88),Ep 556A (989),,,,,
G5,1974-07,Searching for a Tsuchinoko,ツチノコさがそう,Vol 178,,Vol +7,Vol 3,Ep 1143,,,,,,,,
G6,1974-07,Mutant Maker,人間製造機,Vol 37,Vol 2-5,Vol 8,Vol 2,Ep 89,,Ep 186 (315),,,,,,
BK,1974-07,The Undersea Hike,海底ハイキング,Vol 27,,Vol 4,Vol 20,Special (Ep 315A),Ep 1704,Ep 145A (261),,,,,,
G2,1974-08,Puddle Cream,ドンブラクリーム,Vol 171,,,Vol 6,Ep 1635,,,,,,,,
G3,1974-08,Shiverincense,ゾクゾク線香,Vol 145,,Vol +2,Vol 5,,,Ep 412A (718),,,,,,
G4,1974-08,You and What Army?,おもちゃの兵隊,Vol 14,Vol 2-2,Vol 4,Vol 4,Ep 29,,Ep 189B (320),,,,,,
G5,1974-08,The Instant Wardrobe Cam,きせかえカメラ,Vol 26,,Vol 3,Vol 3,Ep 202,Ep 1429,Ep 19B (38),,,,,,
G6,1974-08,"World ""Peace"" Association",世界平和安全協会？,Vol 176,,,Vol 2,Ep 636,,,,,,,,
BK,1974-08,Nessie's Visit,ネッシーがくる,Vol 33,,Vol 6,Vol 20,Special (Ep 402A),,Ep 773A (1329),,,,,,
G2,1974-09,Phoony the Typhoon,台風のフー子,Vol 9,Vol 1-2,Vol 6,Vol 6,Ep 159,,Ep 105 (198),Ep 703A (1224),,Nobita and the Windmasters,,,
G3,1974-09,The Ace Cap,エースキャップ,Vol 33,Vol 1-2,Vol 6,Vol 5,Ep 225,,,,,,,,
G4,1974-09,The Taxi-kerchief,ふろしきタクシー,Vol 144,,Vol +1,Vol 4,Ep 1150,,Ep 462A (813),,,,,,
G5,1974-09,The Bug Listeners,虫の声を聞こう,Vol 144,,Vol +1,Vol 3,Ep 1325,,Ep 416B (726),,,,,,
G6,1974-09,The Girl with the Red Shoes,赤いくつの女の子,Vol 33,Vol 2-3,Vol 6,Vol 2,Ep 41,Ep 906,Ep 86A (165),Ep 499B (883),,,,,
BK,1974-09,Invisi-Drops,とう明人間目ぐすり,Vol 38,,Vol 8,Vol 20,Ep 455,,Ep 68B (133),Ep 633B (1109),,,,,
G2,1974-10,The Portable Police Car,正義のパトカー,Vol 149,,Vol +3,Vol 6,Ep 1100,,Ep 769A (1325),,,,,,
G3,1974-10,The Swapper String,引っ越しひも,Vol 181,,,Vol 5,,,,,,,,,
G4,1974-10,The Tornader,台風発生機,Vol 52,,Vol 14,Vol 4,Ep 181,,,,,,,,
G5,1974-10,Bomb the Mice,ネズミとばくだん,Vol 35,Vol 2-2,Vol 7,Vol 3,Ep 150,,Ep 154C (277),,,,,,
G6,1974-10,The Gamble Gun,ラッキーガン,Vol 28,,Vol 6,Vol 2,Ep 10,Ep 1646,,,,,,,
G2,1974-11,Find the Concentrator,夢中機を探せ,Vol 146,,Vol +2,Vol 6,Ep 1157,,,,,,,,
G3,1974-11,Fruit Thievery,カキどろぼう,Vol 181,,,Vol 5,,,,,,,,,
G4,1974-11,The Freckle Flipper,うつしぼくろ,Vol 158,,Vol +6,Vol 4,Ep 1109,,Ep 709A (1233),,,,,,
G5,1974-11,Habit Breaking Gas,くせなおしガス,Vol 35,Vol 3-2,Vol 7,Vol 3,Ep 156,,Ep 461A (811),,,,,,
G6,1974-11,Possessing Big G,ジャイアン乗っとり,Vol 176,,Vol +7,Vol 2,Ep 1193,,Ep 829A (1408),,,,,,
G2,1974-12,Little Match Doraemon,マッチ売りのドラえもん,Vol 39,Vol 1-3,Vol 8,Vol 6,Ep 1281,,,,,,,,
G3,1974-12,Gender Bender Potion,オトコンナを飲めば？,Vol 39,Vol 1-3,Vol 8,Vol 5,Ep 127,Ep 1215,,,,,,,
G4,1974-12,Defeat the Giantz!,ジャイアンズをぶっとばせ,Vol 17,,Vol 7,Vol 4,Ep 1277,,Ep 139 (252),,,,,,
G5,1974-12,Robo-Flattery,ロボットがほめれば…,Vol 39,Vol 1-3,Vol 8,Vol 3,Ep 282,,Ep 199A (333),Ep 852A (1440),,,,,
G6,1974-12,Viral Marketing Virus,流行性ネコシャクシビールス,Vol 32,Vol 3-2,Vol 6,Vol 2,Ep 387,,Ep 371B (630),,,,,,
G2,1975-01,The Coldbeater Crown,風の子バンド,Vol 151,,Vol +4,Vol 6,,,Ep 200A (335),,,,,,
G3,1975-01,Reaction Tester Robot,テスト・ロボット,Vol 14,Vol 3-3,Vol 7,Vol 5,Ep 476,,Ep 629A (1101),,,,,,
G4,1975-01,The Real Board Game,人間すごろく,Vol 140,,Vol 45,Vol 4,Ep 384,,,,,,,,
G5,1975-01,The Fatigue-Frogger,ケロンパス,Vol 158,,Vol +6,Vol 3,Ep 1160,,Ep 690B (1205),,,,,,
G6,1975-01,The See-Scope,見たままスコープ,Vol 39,,Vol 8,Vol 2,Ep 153,,Ep 792A (1360),,,,,,
,1975-01,,ドラえもん百科,,,Vol 6,,,,,,,,,,"Debuted in the Tankōbon series and not in a magazine. Counted as part of Doraemon manga canon by Yasuyuki Yokoyama, but not illustrated by Fujiko F. Fujio (actual artist is uncredited)."
G2,1975-02,Arm & Leg Heads,手足につけるミニ頭,Vol 182,,Vol +7,Vol 6,,,Ep 617A (1080),,,,,,
G3,1975-02,A Graph that Never Lies,グラフはうそつかない,Vol 37,Vol 3-2,Vol 8,Vol 5,Ep 466,,,,,,,,
G4,1975-02,"The Legendary Sword ""Denko-maru""",名刀「電光丸」,Vol 46,,Vol 11,Vol 4,Ep 155,Ep 994,Ep 349 (586),,,,,,
G5,1975-02,The Disaster Detector,さいなんにかこまれた話,Vol 35,Vol 2-5,Vol 7,Vol 3,Ep 268,,,,,,,,
G6,1975-02,The Wild Watch,マッド・ウオッチ,Vol 37,,Vol 8,Vol 2,Ep 237,,Ep 626B (1096),,,,,,
G1,1975-03,The Creature Communicator,どうぶつごヘッドホン,Vol 183,,,Vol 7,Ep 405,,,,,,,,
G2,1975-03,The Wish-Hammer,うちでの小づち,Vol 38,,Vol 8,Vol 6,Ep 266,Ep 1132,Ep 630B (1104),,,,,,
G3,1975-03,Gimme the Night,夜を売ります,Vol 43,Vol 3-5,Vol 10,Vol 5,Ep 269,,Ep 415A (723),,,,,,
G4,1975-03,The Noby Virus,人間うつしはおそろしい,Vol 140,,Vol 45,Vol 4,Ep 1286,,,,,,,,
G5,1975-03,Moneybees,カネバチはよく働く,Vol 38,,Vol 8,Vol 3,Ep 348,,,,,,,,
G6,1975-03,"The Great ""Tsuchinoko"" Hunt",ツチノコ見つけた！,Vol 40,Vol 3-4,Vol 9,Vol 2,Ep 132,,Ep 317D (526),Ep 516C (914),,,,,
G2,1975-04,Wild Beast-Taming Pellets,桃太郎印のきびだんご,Vol 183,,,Vol 7,Ep 480,,,,,,,,
G3,1975-04,Impossi-Bread,クエーヌパン,Vol 159,,Vol +6,Vol 6,,,,,,,,,
G4,1975-04,The Lie-DePuffer,ハリ千本ノマス,Vol 44,,Vol 10,Vol 5,Ep 1294,,Ep 596A (1057),,,,,,
G4,1975-04,The Doraemon Encyclopedia,ドラえもん大事典,Vol 47,,Vol 11,Vol 20,,,,,,,,,
G5,1975-04,Eraserface,消しゴムでノッペラボウ,Vol 39,Vol 1-3,Vol 8,Vol 4,Ep 223,,Ep 189A (319),Ep 663A (1160),,,,,
G6,1975-04,Challengade,くろうみそ,Vol 200,,Vol 8,Vol 3,Ep 228,Ep 1195,Ep 29A (56),,,,,,
G2,1975-05,The Human Locomotive,人間機関車,Vol 38,Vol 1-3,Vol 8,Vol 7,Ep 1443,,Ep 345A (578),Ep 811A (1387),,,,,
G3,1975-05,The Secret Pen,ないしょペン,Vol 52,,Vol 14,Vol 6,Ep 215,,,,,,,,
G4,1975-05,Rewinder Rag,ゆっくり反射ぞうきん,Vol 37,,Vol 8,Vol 5,Ep 148,Ep 1367,Ep 441B (774),,,,,,
G5,1975-05,Lighter / Writer,ライター芝居,Vol 37,,Vol 8,Vol 4,Ep 217,,Ep 63B (125),,,,,,
G6,1975-05,Hugga-Pills,ニクメナイン,Vol 38,,Vol 8,Vol 3,Ep 122,Ep 1208,Ep 401B (688),Ep 673A (1177),,,,,
G2,1975-06,The Round Stuff Magnet,まるいものじしゃく,Vol 183,,,Vol 7,Ep 390,,,,,,,,
G3,1975-06,The Snobshutter,めんくいカメラ,Vol 39,,Vol 8,Vol 6,Ep 80,,Ep 407A (704),,,,,,
G4,1975-06,A Touching Tale,ジーンと感動する話,Vol 6,Vol 1-3,Vol 9,Vol 5,Ep 208,Ep 1206,Ep 54C (108),Ep 625A (1093),,,,,
G5,1975-06,Lazy Day,ぐうたらの日,Vol 53,Vol 3-2,Vol 14,Vol 4,Ep 1303,,Ep 51A (100),Ep 760A (1313),,,,,
G6,1975-06,The Evo-Devo Beam,進化退化放射線源,Vol 39,,Vol 8,Vol 3,Ep 139,,Ep 37A (73),Ep 517B (916),,,,,
G2,1975-07,Elephant Lipstick,ゾウ印口べに,Vol 143,,Vol +1,Vol 7,,,Ep 457A (803),,,,,,
G3,1975-07,Laugh Long and Prosper,わらってくらそう,Vol 38,,Vol 8,Vol 6,Ep 130,,Ep 289A (469),Ep 845A (1430),,,,,
G4,1975-07,A Hermit's Life for Me,デンデンハウスは気楽だな,Vol 7,Vol 1-3,Vol 9,Vol 5,Ep 87,Ep 1201,Ep 31B (61),Ep 714B (1244),,,,,
G5,1975-07,The Change of Heart Fan,変心うちわ,Vol 145,,Vol +2,Vol 4,Ep 1306,,,,,,,,
G6,1975-07,A World Full of Lies,世の中うそだらけ,Vol 41,,Vol 9,Vol 3,Ep 1305,,Ep 55B (110),Ep 872B (1467),,,,,
G2,1975-08,The Speed Watch,スピードどけい,Vol 44,Vol 3-2,Vol 10,Vol 7,Ep 105,,,,,,,,
G3,1975-08,The Ghost in the Phone,電話のおばけ,Vol 42,,Vol 9,Vol 6,Ep 495,,,,,,,,
G4,1975-08,How to Make an Island,無人島の作り方,Vol 41,,Vol 9,Vol 5,Ep 180,,Ep 615A (1078),,,,,,
G5,1975-08,The Flowercorder,ろく音フラワー,Vol 143,,Vol +1,Vol 4,,,,,,,,,
G6,1975-08,Noby's Noby,のび太ののび太,Vol 41,,Vol 9,Vol 3,Ep 197,Ep 1356,,,,,,,
G1,1975-09,The Moving Map,ひっこし地図,Vol 41,Vol 1-3,Vol 9,Vol 8,Ep 561,,Ep 336A (560),,,,,,
G2,1975-09,The Hard Copy Paper,立体コピー,Vol 51,Vol 1-4,Vol 13,Vol 7,Ep 48,,Ep 212B (352),Ep 868A (1463),,,,,
G3,1975-09,The Moodometer,ごきげんメーター,Vol 41,Vol 3-1,Vol 9,Vol 6,Ep 277,,,,,,,,
G4,1975-09,I'm Momotaro!,ぼく、桃太郎のなんなのさ,Vol 42,,Vol 9,Vol 5,,,Ep 119 (223),,,,,What Am I for Momotaro,
G5,1975-09,Human Remote Control,人間ラジコン,Vol 44,,Vol 10,Vol 4,Ep 154,,,,,,,,
G6,1975-09,The Tracer Badges,トレーサーバッジ,Vol 42,Vol 1-3,Vol 9,Vol 3,Ep 169,,Ep 470B (830),,,,,,
SD,1975-09,Noby's Dinosaur,のび太の恐竜,Vol 11,Vol 1-3,Vol 10,Vol 20,,,Ep 619C (1084),,,Nobita's Dinosaur,Nobita's Dinosaur 2006,,
G1,1975-10,The Roachflute,ごきぶりふえ,Vol 157,,Vol +6,Vol 8,,,,,,,,,
G2,1975-10,The Werewolf Cream,おおかみ男クリーム,Vol 45,Vol 1-4,Vol 11,Vol 7,Ep 97,Ep 1373,Ep 27B (53),Ep 309A (507),Ep 552B (984),,,,
G3,1975-10,The Play Fork,アソボウ,Vol 40,,Vol 9,Vol 6,,,,,,,,,
G4,1975-10,Noby Broadcasting Corporation,のび太放送協会,Vol 181,,Vol +7,Vol 5,Ep 622,,,,,,,,
G5,1975-10,The Sweetbot,いたわりロボット,Vol 155,Vol 3-6,Vol +5,Vol 4,Ep 641,,Ep 399B (684),,,,,,
G6,1975-10,The Bottle Cap Collection,王かんコレクション,Vol 15,,Vol 9,Vol 3,Ep 401,Ep 1062,Ep 10B (19),,,,,,
G1,1975-11,The Bouncing Hole,とばしあな,Vol 183,,,Vol 8,Ep 1344,,,,,,,,
G2,1975-11,The Human Timer,人間用タイムスイッチ,Vol 153,,Vol +4,Vol 7,Ep 1142,,Ep 309B (508),,,,,,
G3,1975-11,The Animal Escape Drops,動物がたにげだしじょう,Vol 44,,Vol 10,Vol 6,Ep 263,,Ep 477B (841),,,,,,
G4,1975-11,The Time-Delay Drops,おそだアメ,Vol 41,Vol 1-3,Vol 10,Vol 5,Ep 175,,Ep 287B (468),Ep 655B (1147),,,,,
G5,1975-11,Tummy Travelers,たとえ胃の中、水の中,Vol 10,Vol 1-3,Vol 10,Vol 4,Ep 137,Ep 1656,Ep 47A (92),Ep 715B (1246),,,,,
G6,1975-11,The Tongue Reader,ベロ相うらない大当たり！,Vol 47,,Vol 12,Vol 3,Ep 111,,Ep 142B (257),Ep 692B (1209),,,,,
G1,1975-12,The Elastiscope,のびちぢみスコープ,Vol 183,,,Vol 8,Ep 600,Ep 1147,,,,,,,
G2,1975-12,The Human Splitter,人間切断機,Vol 43,Vol 2-5,Vol 10,Vol 7,Ep 84,,,,,,,,
G3,1975-12,Water to Wine,ようろうおつまみ,Vol 43,,Vol 10,Vol 6,Ep 256,,,,,,,,
G4,1975-12,The No-see-um Drops,見えなくなる目ぐすり,Vol 43,,Vol 10,Vol 5,Ep 160,Ep 1376,Ep 479A (845),,,,,,
G4,1975-12,,ジャックと豆の木,,,,Shonen SF Vol 3,Short,,,,,,,,"Chapter is compiled in Fujio's Shonen SF short story collections, not the main Doraemon series. Anime adaptation is part of ""Doraemon Masterpiece Theater"" (1993), a series of shorts spoofing fairytales and folktales."
G5,1975-12,The Mirage Shower,いないいないシャワー,Vol 44,Vol 1-3,Vol 10,Vol 4,Ep 163,Ep 1202,Ep 910B (1513),,,,,,
G6,1975-12,The Vending Time Machine,自動販売タイムマシン,Vol 16,,Vol 11,Vol 3,Ep 172,,Ep 319B (530),,,,,,
G1,1976-01,Heli-Tags,空とぶ荷ふだ,Vol 183,,,Vol 8,,,,,,,,,
G2,1976-01,Cloudwalking,雲の中の散歩,Vol 45,Vol 1-4,Vol 11,Vol 7,Ep 601,,Ep 689A (1203),,,,,,
G3,1976-01,The Balance Shot,バランス注射,Vol 67,,Vol 20,Vol 6,Ep 552,,Ep 637A (1114),,,,,,
G4,1976-01,The What if? Box,もしもボックス,Vol 45,Vol 3-1,Vol 11,Vol 5,Ep 255,,Ep 75A (145),,,,,,
G5,1976-01,Making a Brother,弟をつくろう,Vol 8,Vol 3-2,Vol 10,Vol 4,Ep 234,Ep 1417,Ep 150A (268),Ep 643B (1128),,,,,
G5,1976-01,,ドラえもんの大ひみつ,,,,Vol 4,,,,,,,,,Bonus comic in which Nobita learns Doraemon’s backstory.
G6,1976-01,The Quickdraw Contest,けん銃王コンテスト,Vol 48,,Vol 12,Vol 3,Ep 55,Ep 1649,Ep 27A (52),Ep 568B (1015),,,,,
G1,1976-02,Noby's Tank,ふしぎな戦車,Vol 184,,,Vol 8,,,,,,,,,
G2,1976-02,The Giddyupper,はいどうたづな,Vol 48,,Vol 12,Vol 7,Ep 166,,Ep 519B (920),,,,,,
G3,1976-02,The XYZ-Ray Camera,XYZ線カメラ,Vol 43,,Vol 10,Vol 6,Ep 66,,,,,,,,
G4,1976-02,Tales of Future Magazines,百年後のフロク,Vol 11,,Vol 10,Vol 5,Ep 226,Ep 1431,Ep 487A (860),,,,,,
G5,1976-02,The Sickness Simulator,仮病薬,Vol 180,,,Vol 4,,,,,,,,,
G6,1976-02,Bogus Aliens,ニセ宇宙人,Vol 43,,Vol 10,Vol 3,Ep 78,Ep 1681,Ep 293A (476),Ep 554B (986),,,,,
G1,1976-03,The Replay Camera,おくれカメラ,Vol 48,,Vol 12,Vol 8,Ep 36,,,,,,,,
